28Sep_11AM,28Sep_01PM,8Oct_11AM,8Oct_01PM,13Oct_11AM,13Oct_01PM,20Oct_11AM,20Oct_01PM
25.98,28.65,20.65,25.44,20.89,26.72,24.74,27.82
25.53,27.18,19.53,24.03,20.55,23.86,24.21,27.27
26.02,28.58,20.29,24.97,21.07,25.66,24.8,27.98
27.36,29.93,21.61,26.02,22.39,27.91,25.45,28.16
25.84,27.93,20.56,24.96,20.83,24.57,24.84,27.94
25.5,28.14,20.51,24.65,20.27,25.53,24.71,28.31
26.32,28.8,20.91,25.49,20.63,25.64,24.98,28.54
24.93,27.27,19.83,23.99,20.32,24.28,24.65,28.02
24.98,26.68,19.66,23.13,19.84,23.38,24.36,27.15
24.82,27.03,19.86,23.32,20.17,24.3,24.57,27.31
25.18,26.91,19.81,24.27,20.52,24.56,24.62,27.85
25.63,27.44,19.99,24.54,19.93,25.31,24.76,27.85
24.85,25.61,19.44,23.22,20.27,23.55,24.59,27.39
24.31,26.36,19.74,23.51,20.55,24.01,24.63,27.35
24.8,26.8,20.04,23.77,20.34,24.27,24.91,27.47
25.45,26.42,19.55,24.27,19.94,22.87,24.23,26.96
26.65,29.56,19.9,25.23,20.78,25.66,24.43,27.25
25.46,27.13,19.45,23.92,19.95,23.18,24.56,27.39
25.19,26.62,19.83,23.73,20.21,24.01,24.76,27.74
25.34,27.57,19.83,23.72,19.88,23.21,24.58,27.4
24.26,26.53,19.39,23.26,18.96,23.34,24.29,27.76
25.18,27.01,20.04,23.21,19.42,23.64,24.44,27.79
25.24,27.49,19.29,23.19,19.32,23.36,24.37,27.6
25.12,27.3,19.64,23.13,19.56,24.14,24.43,27.43
24.41,25.9,19.35,22.48,19.92,23.18,24.53,27.2
25.31,27.53,19.64,24.22,20.7,24.74,24.83,28.01
25.2,27.25,19.35,23.84,19.75,23.52,24.78,28.11
25.03,26.33,19.51,23.23,19.97,23.71,24.59,27.61
25.3,26.78,19.73,23.57,20.19,24.26,24.6,27.51
25.09,26.74,19.96,23.46,20.16,23.8,24.74,27.18
25.53,27.78,19.91,24.42,20.29,24.46,24.05,26.76
25.23,27.05,19.71,24.09,19.97,23.07,24.43,27.07
25.55,27.52,19.54,23.64,20.06,24.19,24.22,26.98
25.51,28.01,20.07,23.49,20.52,24.48,24.54,27.52
25.43,27.11,20.21,23.21,20.25,22.71,25,27.89
24.98,26.92,20.03,23.56,19.61,24.61,24.62,28.35
24.12,26.11,19.08,22.43,19.29,22.9,24.26,27.91
25.33,27.72,19.74,23.62,19.63,24.2,24.48,27.26
24.17,25.92,19.62,22.25,18.94,23.13,24.17,27.5
25.45,27.79,19.78,23.08,20.06,24.02,24.8,27.46
24.44,26.46,19.03,23.16,19.36,22.97,24.19,27.17
25.16,27.45,19.61,24.34,20.76,24.94,24.64,27.81
25.16,27.05,19.53,23.55,19.94,23.76,24.28,27.44
24.8,26.99,19.58,23.38,19.89,24.29,24.37,27.03
25.83,27.34,19.97,23,20.57,24.32,24.8,27.39
24.53,26.84,19.89,24.07,19.79,24.02,24.53,26.94
25.09,27.25,19.79,24.26,20.13,23.6,24.3,27.23
25.02,27.14,19.24,23.16,19.71,22.84,23.95,27.02
25.11,27.15,19.99,23.65,20.24,23.57,24.58,27.38
24.65,26.02,19.54,22.59,18.95,22.09,24.28,27.17
24.54,26.28,19.11,22.66,19.08,23.17,24,27.11
25.12,27.64,20.02,23.62,19.93,24.2,24.51,27.97
24.48,26.12,18.86,22.61,19.78,23.18,24.33,27.59
24.35,26.02,19.37,22.52,19.75,22.95,24.43,27.44
24.88,27.13,19.99,23.19,19.82,23.21,24.81,27.78
24.57,26.96,19.2,23.31,19.45,22.69,24.5,27.51
24.52,26.01,19.38,23.49,19.29,22.19,24.08,27.54
25.25,26.59,19.31,23.22,19.57,23.76,24.09,27.19
24.14,26.17,19.97,23.49,20.31,24.59,24.53,27.49
24.69,26.17,20.26,23.38,20.17,23.99,24.77,27.66
25.31,27.12,19.3,23.48,19.44,22.84,24.6,27.02
24.8,27.32,19.6,23.57,19.61,23.84,24.29,26.91
24.3,26.5,19.31,22.73,19.48,22.5,24.16,27.01
25.06,26.65,19.45,22.78,20,23.24,24.23,27.06
25.3,26.98,19.59,22.54,20.59,23.38,24.55,27.36
24.49,26.38,19.18,22.69,19.38,23.74,24.23,27.33
24.78,26.98,19.53,22.66,19.6,23,23.91,27.78
24.85,26.95,19.04,22.5,19.48,22.91,24.03,26.97
25,26.86,19.61,22.89,20.15,24.82,24.49,27.67
23.98,25.66,19.19,22.75,19.83,22.72,24.31,27.58
24.11,26.32,19.02,22.98,19.09,22.43,24.18,27.25
24.11,26.3,18.84,22.58,18.87,22.48,24.08,27.26
24.57,26.24,19.41,22.77,19.53,22.72,24.22,27.14
24.7,26.93,19.99,23.73,19.82,24.09,24.49,27.27
24.67,26.43,19.4,22.51,19.37,22.75,24.28,27.2
24.9,27.17,19.58,23.59,19.92,23.9,24.5,26.92
24.43,26.12,19,22.87,19.3,22.74,24.28,26.35
25.25,27.09,19.52,23.03,19.86,22.74,24.42,26.99
25.43,27.84,20.08,23.44,20.16,24.28,24.18,27.03
24.07,26.01,19.59,22.35,19.45,23.32,23.93,26.56
24.82,26.89,19.47,22.97,19.39,23.52,24.05,27.38
24.94,27.52,19.59,23.51,19.58,24.46,24.41,27.5
24.38,26.33,19.14,23.03,19.51,23.42,23.8,27.25
24.7,26.61,19.85,23.24,20.19,23.9,24.5,28.11
24.39,26.25,19.5,23.07,19.8,23.01,24.56,27.55
24.18,26.13,18.71,22.5,19.01,21.92,23.97,27.15
24.42,26.54,19.05,22.69,19.16,22.99,24.11,27.37
24.27,26.56,19.33,23.27,19.64,23.67,24.05,26.85
24.52,26.38,19.86,23.16,20.09,23.92,24.32,27.13
25.58,27.97,19.99,24.11,20.44,24.73,24.51,26.97
24.62,26.05,19.1,22.89,19.49,22.55,24.16,26.52
24.7,26.12,19.36,23.23,19.91,23.58,24.43,26.48
24.91,27.43,19.33,23.08,20.09,23.25,24.14,26.63
24.35,26.56,19.25,22.09,19.5,22.06,24.16,26.56
24.11,25.51,19.38,22.17,19.57,22.69,24.22,26.82
25.09,26.73,19.66,23.28,19.73,24.58,24.61,27.64
24.74,27.03,19.33,22.73,19.37,23.28,24.3,27.59
23.83,25.67,19.09,22.19,18.89,22.67,23.91,26.98
25.55,27.9,19.96,24,20.47,24.93,24.62,27.47
24.29,25.93,19.09,22.67,18.88,22.52,24.2,27.19
24.62,26.45,18.91,22.79,19.14,22.62,24.32,27.23
24.69,26.67,19.31,23.38,19.65,23.43,24.43,27.63
24.31,26.21,19.41,22.82,18.94,23.18,23.99,27.24
23.63,25.22,19.49,22.75,19.15,22.72,24.15,26.95
24.47,26.93,19.49,22.77,19.85,23.73,24.55,26.67
24.55,26.52,18.94,22.91,19.41,22.76,24.13,26.38
24.4,26.03,19.3,22.68,19.09,22.07,24.16,26.14
24.85,26.48,19.05,22.61,19.35,22.25,24.17,26.38
25.27,27.58,19.66,23.19,19.98,23.41,24.13,26.52
25.46,27.6,20.12,23.45,20.65,24.59,24.66,27.15
24.26,26.31,19.49,23.08,19.69,23.09,24.46,27.48
25.48,27.5,19.53,22.85,20.18,23.14,24.72,27.73
24.27,26.43,18.73,22.74,19.38,22.95,24.01,27.41
24.42,26.58,19.58,23.07,19.87,23.93,24.44,27.35
24.03,25.64,19.15,22.81,19.88,24.17,24.56,26.99
24.64,26.96,18.94,22.85,19.44,23.07,24.3,27.2
24.85,26.61,19.47,23.49,19.37,23.34,24.49,27.57
24.91,26.46,19.48,22.94,19.39,23.41,24.18,27.42
24.42,26.11,19.87,22.64,20.03,23.25,24.54,27.15
24.17,25.64,19.2,22.37,18.77,22.13,24.33,26.49
25.01,26.89,19.59,23.64,20.14,24.19,24.65,27.27
24.96,26.98,19.43,23.02,19.54,22.41,24.12,25.98
24.75,26.72,19.7,22.89,19.52,22.63,24.44,26.75
24.88,26.91,19.6,22.64,20.05,22.61,24.39,27.07
24.59,27.07,20.03,22.9,19.85,23.89,24.74,27.87
25.08,26.87,19.67,23.72,20.18,24.1,24.45,27.35
25.79,28.26,19.98,24.27,20.38,24.42,24.41,27.32
24.52,26.87,19.32,23.32,20,24.31,24.2,27.3
24.73,27.69,19.81,23.68,20.22,24.57,24.75,27.71
24.42,26.32,19.7,23.31,19.74,23.67,24.5,27.27
24.56,26.64,19.37,23.54,19.32,22.85,24.65,27.19
24.2,26.16,19.08,22.83,18.9,22.6,24.18,27.27
24.96,27.07,19.81,23.6,20.04,24.11,24.44,27.46
24.27,25.65,19.14,22.79,19.32,22.15,24.06,26.87
23.61,25.21,19.16,22.3,19.15,22.76,24.48,26.98
24.33,25.98,19.04,22.74,19.26,23.17,24.43,26.14
24.13,25.47,19.23,22.9,19.52,23,24.43,26.66
24.27,25.82,19.54,23.18,19.49,23.31,24.41,26.68
24.06,26.26,19.51,22.57,19.58,22.53,24.22,26.55
25.37,27.28,19.87,23.18,20.35,24.14,24.56,27.22
24.73,26.58,19.77,23.5,19.55,23.3,24.57,27.66
24.39,26.31,19.35,23.05,19.02,23.54,24.2,27.05
24.79,26.76,19.89,24.4,21.05,26.02,24.99,28.35
24.69,26.62,19.88,23.59,20.29,24.51,24.6,27.64
24.09,26.18,19.37,23.19,19.63,23.63,24.46,27.43
24.13,25.51,19.2,23.19,19.6,23.42,24.65,27.46
24.61,25.95,19.62,23.49,20.13,23.69,24.86,27.66
25.09,26.46,19.6,23.13,19.34,22.52,24.69,27.88
24.42,25.63,19.27,22.69,19.63,23.26,24.32,27.03
23.89,24.88,19.32,22.54,19.71,23.09,24.51,27.25
24.54,26.29,19.74,23.37,20.03,23.18,24.71,26.95
24.22,25.71,19.35,22.63,19.46,22.13,24.14,26.47
25.08,26.61,19.86,23.54,20.04,23.36,24.51,26.59
24.46,26.5,19.63,22.79,19.71,22.74,24.29,26.75
25.46,26.98,19.89,23.24,20.18,23.96,24.49,27.26
24.37,25.82,19.58,23.33,19.49,22.56,24.48,27.48
25.16,27.24,19.68,23.52,20.03,23.94,24.7,27.65
24.23,26.43,19.45,23.32,19.66,23.59,24.44,27.45
24.26,26.7,19.85,23.88,19.93,24.49,24.55,27.63
24.7,26.95,19.78,23.87,20.63,24.6,24.93,27.73
24.35,26.56,19.35,23.35,19.95,24.3,24.51,27.6
24.45,26.05,19.15,22.95,19.27,22.64,24.49,27.02
24.37,26.21,19.72,23.29,19.41,23.08,24.7,27.59
24.7,27.24,19.85,23.83,19.9,23.85,24.71,27.59
24.58,26.36,19.72,23.2,20.2,24.25,24.51,26.91
24.85,26.27,19.53,23.27,19.21,22.48,24.49,26.66
25.69,27.46,20.83,24.4,20.35,24.39,25.04,27.21
25.89,26.48,19.97,24.09,20.16,24.41,24.65,27.15
25.74,27.63,20.33,23.71,20.11,24.43,24.97,27.31
24.78,26.61,19.87,22.74,19.46,23.75,24.51,27.16
24.67,26.45,19.93,23.82,19.64,23.43,24.42,27.38
24.79,26.58,20.25,23.86,19.36,23.15,24.35,27.54
24.04,25.81,19.43,23.16,19.11,23.04,24.45,27.39
25.1,26.82,19.91,23.28,19.77,24.13,24.84,27.7
24.1,25.97,19.81,23.06,19.47,23.47,24.74,27.59
24.72,26.22,20.07,23.52,19.56,23.15,24.82,27.93
25.03,26.83,19.59,23.25,19.59,22.85,24.74,26.96
25,26.72,19.86,23.56,19.43,22.65,24.98,27.87
24.91,26.58,20.04,23.28,19.47,23.74,24.67,27.83
24.81,26.98,20.3,23.25,19.59,23.72,24.88,27.36
